id,title,ground_truth,prediction,layer,latency,claim,search_keyword,reason
24326,"Benar, Ada Dugaan Warga Coblos Dua Surat Suara di Pilkada Serentak Sumatera Utara 2024",Benar,Hoax,google_news,2608.8126612999986,Seorang perempuan mencoblos surat suara Pemilihan Gubernur dan Wakil Gubernur Sumut 2024 sebanyak dua kali.,Perempuan mencoblos suara Pemilihan Gubernur Sumut 2024,
24325,"Benar, Klaim Video Surat Suara di Desa Juranalas, Sumbawa Sudah Tercoblos",Benar,Tidak Diketahui,turnbackhoax,436.8286982999998,"Benar, surat suara di Desa Juran Alas, Kabupaten Sumbawa, Provinsi Nusa Tenggara Barat sudah tercoblos.",Desa Juran Alas,
24312,[Benar] Video Surat Suara Tercoblos Sebelum Pemilihan di Gowa,Benar,Tidak Diketahui,google_news,86.48805730000095,"Video terkait surat suara yang Tercoblos terjadi di TPS 001 Kelurahan Mawang, Kecamatan Somba Opu, Gowa.",TPS 001 Mawang,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24311,"Viral Ban Mobil Dipecahkan di Pidie Jaya, Polisi: Sedang Ditangani",Benar,Valid,turnbackhoax,282.26966769999854,"Mobil berkelir merah dengan dua ban sisi kanan depan dan belakang pecah terjadi di Desa Meunasah Bie, Kecamatan Meurah Dua, Pidie Jaya, Aceh.",Desa Meunasah Bie,
24310,"Viral Surat Suara Dicoblos di Motor, KIP Pidie: Dibawa ke Orang Sakit",Benar,Hoax,google_news,1792.8760325999974,Seorang perempuan mencoblos surat suara Pilkada 2024 di atas sepeda motor.,Perempuan mencoblos surat suara di atas sepeda motor,
35309,Cek Fakta: Tidak Benar Ini Link Pendaftaran Pencairan BLT Lewat Handphone,Salah,Hoax,google_news,4600.374308499999,Klaim link pendaftaran pencairan BLT lewat handphone tidak berdasar.,Pencairan BLT Handphone,
35304,"Salah, Puan Maharani Sebut Pemerintah Harus Genjot Pajak Rakyat",Salah,Hoax,turnbackhoax,422.6627453000001,Pemerintah harus menggenjot penarikan pajak dari rakyat untuk menekan hutang negara kepada pihak asing.,penarikan pajak,
35303,"Tidak Benar, Gambar Korban Hantavirus di Jakarta",Salah,Hoax,turnbackhoax,4309.980426299997,Dinas Kesehatan DKI Jakarta menemukan 4 kasus hantavirus dan menunjukkan gambar seorang perempuan yang diklaim sebagai korban hantavirus.,Hantavirus,
35301,"Tidak Benar, Bahlil Umumkan Harga Pertamax Turun Jadi Rp10.500",Salah,Hoax,turnbackhoax,428.2952073999986,Menteri Energi dan Sumber Daya Mineral RI Bahlil Lahadalia mengumumkan penurunan harga Pertamax menjadi Rp10.500 dampak dari minyak dunia yang mulai turun.,Penurunan Harga Pertamax,
35300,"Salah, Jubir ESDM Minta Warga Pakai Solar Jika Pertamax Naik",Salah,Hoax,turnbackhoax,396.9178766999976,Juru Bicara Kementerian ESDM Dwi Anggia meminta masyarakat untuk menggunakan solar yang berharga murah sebagai ganti jika Pertamax naik harga.,Solar Murah,
24290,"Benar, Foto Uang dan Amplop Bergambar salah Satu Paslon Pilkada Kabupaten Pekalongan",Benar,Hoax,google_news,596.9605188999994,"Paslon 01 Fadia Arafiq-Sukirman melakukan politik uang senilai Rp70 ribu dalam Pilkada Kabupaten Pekalongan, Jawa Tengah, tahun 2024.",Politik Uang Pilkada Pekalongan,"Klaim paslon 01 Fadia Arafiq-Sukirman melakukan politik uang senilai Rp70 ribu dalam Pilkada Kabupaten Pekalongan, Jawa Tengah, tahun 2024 dianggap hoax karena tidak ada bukti yang cukup untuk mendukung klaim tersebut. Bukti yang tersedia, seperti foto uang dan amplop bergambar salah satu paslon pilkada, tidak dapat dihubungkan dengan klaim tentang politik uang senilai Rp70 ribu. Oleh karena itu, klaim ini tidak dapat dipertanggungsikan sebagai fakta yang terbukti."
24288,"Ratusan surat suara sudah tercoblos di Alas, Sumbawa",Benar,Hoax,google_news,1817.7615229999938,"Ratusan surat suara telah tercoblos di Kabupaten Alas, Sumbawa.",Surat Suara Kabupaten Alas,"Klaim tentang ratusan surat suara telah tercoblos di Kabupaten Alas, Sumbawa, dianggap hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti 1, yaitu artikel dari detikcom, tidak memberikan informasi yang spesifik tentang surat suara yang tercoblos, sehingga tidak dapat dipastikan keaslian klaim tersebut. Bukti 2, yaitu artikel dari insidelombok, membahas tentang cara mengenali hoaks yang muncul sebelum, saat, dan setelah pemilu, tetapi tidak menyebutkan klaim tersebut secara spesifik. Bukti 3, yaitu artikel dari koranntb.com, membahas tentang program ganjar-mahfud di Monjok, tetapi tidak terkait dengan surat suara yang tercoblos. Oleh karena itu, klaim tersebut dianggap hoax dan tidak dapat dipastikan keaslian."
24285,"Benar, Video Petugas KPPS di Kota Ambon Coblos Surat Suara untuk Salah Satu Paslon",Benar,Tidak Diketahui,google_news,108.22668870000052,KPPS mencoblos surat suara sisa untuk kandidat tertentu di TPS Batu Merah Kebun Cengkeh.,TPS Batu Merah Kebun Cengkeh,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24283,119 Surat Suara Tercoblos di Juran Alas Sumbawa,Benar,Tidak Diketahui,google_news,286.35929710000346,"Dugaan kecurangan terjadi di TPS 06 Desa Juran Alas, Kecamatan Alas, Kabupaten Sumbawa, Nusa Tenggara Barat saat hari pencoblosan pilkada serentak.",TPS Juran Alas,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24281,"Benar, Surat Suara di TPS 9 Tingkulu Manado Sudah Tercoblos saat Dibuka",Benar,Hoax,turnbackhoax,396.0202285999985,Kalah fajar p serangan komang.,Komang,"Alasan Verifikasi:

Klaim bahwa ""Kalah fajar p serangan komang"" dikategorikan sebagai Hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti yang tersedia, yaitu artikel dengan narasi tentang akun Facebook palsu yang mengatasnamakan Bupati Tabanan I Komang Gede Sanjaya dan menggunakan foto-foto palsu, menunjukkan bahwa klaim tersebut tidak berdasar pada fakta. Selain itu, keterangan langsung dari Bupati Tabanan I Komang Gede Sanjaya sendiri dalam akun Facebook pribadinya yang membenarkan bahwa akun tersebut palsu dan mengingatkan masyarakat untuk tidak mudah percaya dengan informasi hoaks. Dengan demikian, klaim ""Kalah fajar p serangan komang"" tidak dapat disahkan dan dikategorikan sebagai Hoax."
24252,"Viral Surat Suara di TPS KBB Diduga Sudah Tercoblos, Ini Faktanya",Benar,Tidak Diketahui,google_news,100.32590339999297,Video dugaan kecurangan dalam momen pemungutan suara Pilkada Serentak 2024 di Kabupaten Bandung Barat menunjukkan surat suara tercoblos.,Surat Suara Terkokol,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24248,Cek Fakta (Benar): Edaran Kupon Beras Gratis di Jembrana,Benar,Tidak Diketahui,google_news,99.01994410000043,Kupon beras gratis menampilkan wajah pasangan calon bupati Jembrana dan pasangan calon gubernur Bali.,Kupon Beras Jembrana,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
24243,CEK FAKTA: Benarkah Polsek Tombatu Amankan Ratusan Amplop Berisi Uang untuk Serangan Fajar?,Benar,Valid,turnbackhoax,449.50086500000907,Polsek Tombatu Timur amankan ratusan amplop berisi uang.,Polsek Tombatu Timur,"Alasan Verifikasi: Klaim ""Polsek Tombatu Timur amankan ratusan amplop berisi uang"" dikategorikan sebagai Valid karena didukung oleh bukti yang kuat, yaitu video dengan narasi polisi mengamankan ratusan amplop berisi uang yang beredar di medsos, serta laporan penangkapan dua orang pelaku yang diduga membagikan amplop tersebut kepada warga. Penelusuran yang dilakukan oleh Tim Cek Fakta Kompas.com menemukan bahwa video tersebut identik dengan tangkapan layar yang ada di laman Tribun Manado, dan informasi tentang penangkapan itu disebutkan dalam pemberitaan yang sama. Selain itu, kasat Reskrim Polres Mitra Iptu Lutfi Adinugraha Pratama juga menyatakan bahwa penangkapan itu dilakukan setelah polisi menerima laporan dari masyarakat dan bahwa dua orang pelaku sudah diserahkan ke Bawaslu Minahasa Tenggara."
23829,"Benar, Video Pembagian Amplop dan Poster Pasangan Calon Bupati di Pamekasan, Madura",Benar,Hoax,google_news,811.8092484999943,Video pembagian amplop dan poster pasangan calon bupati Pamekasan kepada warga benar-benar ditempel di dinding dan bangku sekolah.,Video pasangan bupati,"Klaim tentang video pembagian amplop dan poster pasangan calon bupati Pamekasan di sekolah ditempel di dinding dan bangku sekolah dianggap hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti 1 dari Tempo.co yang membantu menyangkal klaim ini, sedangkan Bukti 2 dari CekFakta #285 yang membantah klaim tentang video mata uang BRICS juga menunjukkan bahwa klaim tersebut tidak dapat dipercaya. Oleh karena itu, verifikasi berdasarkan seluruh bukti ini adalah hoax."
23476,"CEK FAKTA: Debat Pilgub Jatim 2024, Luluk Nur Hamidah Sebut Jumlah Penduduk Miskin di Jatim Tertinggi di Indonesia, Benarkah?",Benar,Hoax,google_news,7838.173293299988,Kondisi Jawa Timur memiliki jumlah penduduk miskin tertinggi di Indonesia.,Jawa Timur Miskin,"Klaim bahwa kondisi Jawa Timur memiliki jumlah penduduk miskin tertinggi di Indonesia dianggap HOAX karena tidak ada bukti yang mendukung klaim tersebut. Meskipun ada beberapa sumber yang menyatakan bahwa Jawa Timur memiliki tingkat kemiskinan yang tinggi, namun tidak ada sumber yang secara spesifik menyatakan bahwa Jawa Timur memiliki jumlah penduduk miskin tertinggi di Indonesia. Bukti-bukti yang tersedia seperti SuaraData.com, Universitas Airlangga, Kompas.id, dan lain-lain hanya menyebutkan bahwa Jawa Timur memiliki tingkat kemiskinan yang tinggi, tetapi tidak memberikan data yang spesifik tentang jumlah penduduk miskin tertinggi di Indonesia. Oleh karena itu, klaim tersebut tidak dapat dibuktikan dan dianggap HOAX."
23078,"[SALAH] Hewan “Sapi Laut” Terdampar di Bangkalan, Madura",Benar,Tidak Diketahui,google_news,75.39982710000186,Klaim utama: Nelayan sukolela di Bangkalan menangkap sapi laut.,Menangkap Sapi Laut,Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
23008,"Benar, Video Seorang Pria Mengkonsumsi Makanan dan Minuman yang Dicampur Semen",Benar,Hoax,google_news,470.94576360000065,Pria dalam video meminum adonan semen dan memakan pisang yang dicocol dengan semen.,Semen Pisang,"Klaim tentang pria meminum adonan semen dan memakan pisang yang dicocol dengan semen dianggap hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti 1 dari Cekfakta.com membantah klaim tersebut, menunjukkan bahwa informasi tersebut tidak dapat dipercaya. Oleh karena itu, verifikasi berdasarkan seluruh bukti adalah hoax."
22066,"Benar, Mulyono Nama Pertama Presiden Joko Widodo",Benar,Hoax,turnbackhoax,1985.0690365000046,"Benar, nama pertama Presiden Joko Widodo adalah Mulyono.",Mulyono,"Berdasarkan seluruh bukti yang ditemukan, klaim tersebut dikategorikan sebagai Hoax karena mengandung informasi yang tidak benar. Berikut adalah alasan verifikasi:

1. Klaim bahwa pria berkacamata di foto postingan Facebook bernama Hari Mulyono dan merupakan lulusan dari Universitas Gadjah Mada (UGM) tidak benar. Foto tersebut sebenarnya merupakan gambar Presiden Joko Widodo yang diambil saat momen pernikahan dengan Ibu Iriana.

2. Klaim bahwa nama pertama Presiden Joko Widodo adalah Mulyono dan kemudian diganti menjadi Joko Widodo karena sering sakit-sakitan tidak benar. Informasi ini telah dipbenarkan oleh Presiden Jokowi sendiri dalam wawancara yang dilakukan Pemimpin Redaksi SCTV Retno Pinasti.

3. Klaim bahwa pria berkacamata di foto postingan Facebook bernama Harry Mulyono dan merupakan mantap segalanya tidak benar. Foto tersebut sebenarnya merupakan gambar Presiden Joko Widodo yang diambil saat momen pernikahan dengan Ibu Iriana.

Dengan demikian, klaim-klaim tersebut dapat dikategorikan sebagai Hoax karena mengandung informasi yang tidak benar dan menyesatkan."
21978,"Benar, Realisasi Patung Garuda IKN Berbeda dengan Desain Awal",Benar,Valid,turnbackhoax,754.0437535999954,Klaim utama: Realisasi pembangunan patung garuda IKN tidak sama dengan desain awalnya.,Patung Garuda IKN,"Klaim utama bahwa realisasi pembangunan patung garuda IKN tidak sama dengan desain awalnya dikategorikan sebagai Valid berdasarkan bukti yang tersedia. Desain awal patung garuda IKN dibuat oleh seniman patung asal Bali, I Nyoman Nuarta, pada sekitar Maret 2020 dan memiliki kepala yang maju ke depan serta sayap yang memiliki tujuh tonjolan mirip jari. Namun, desain akhir tersebut diklaim menghadap ke depan dan memiliki empat ujung sayap yang mencuat ke arah atas. Bukti-bukti ini mendukung klaim bahwa realisasi pembangunan patung garuda IKN tidak sama dengan desain awalnya."
21593,"Benar, Video Jaksa Agung Kansas Mengajukan Gugatan Pada Pfizer",Benar,Hoax,turnbackhoax,3327.9684108999936,"Pfizer mengklaim vaksin Covid-19 aman untuk wanita hamil, namun laporan dari 458 wanita hamil yang menerima vaksin tersebut menunjukkan efek samping dan keguguran.",Vaksin Pfizer,"Berdasarkan seluruh bukti yang ditemukan, klaim tersebut dikategorikan sebagai Hoax karena:

1. Klaim mengenai penyakit Sindrom Stiff-Person yang disebabkan oleh vaksinasi Covid-19 merupakan klaim yang ‘tidak masuk akal secara ilmiah’.
2. Dokumen yang dimiliki oleh Pfizer bukan dokumen yang menunjukkan efek samping yang dimiliki setelah melakukan vaksinasi Covid-19 dan belum memiliki hubungan sebab akibat yang berarti.
3. Sindrom Stiff-Person yang diderita penyanyi Celine Dion disebabkan vaksin Pfizer merupakan hoax dengan kategori Konten yang Menyesatkan.

Alasan verifikasi: Klaim tersebut tidak didukung oleh bukti ilmiah dan dokumen resmi dari Pfizer, sehingga dikategorikan sebagai Hoax."
20675,"Benar, Klaim Ahok soal Penghasilan Minimal untuk Hidup di Jakarta Rp5 Juta",Benar,Hoax,google_news,5973.999434900004,Penghasilan minimal warga yang hidup di DKI Jakarta adalah Rp5 juta per bulan.,DPH DKI Jakarta,"Klaim bahwa penghasilan minimal warga yang hidup di DKI Jakarta adalah Rp5 juta per bulan dianggap hoax karena tidak ada bukti yang mendukung klaim tersebut. Meskipun ada beberapa sumber yang menyebutkan gaji minimum atau ideal hidup di Jakarta, namun semua sumber tersebut menunjukkan bahwa gaji minimal tersebut lebih tinggi dari Rp5 juta, seperti Rp10 juta (VIVA.co.id), Rp15 juta (Ahok dan CNBC Indonesia), atau bahkan Rp77 juta (CNBC Indonesia). Selain itu, beberapa bukti juga menyebutkan bahwa gaji ideal hidup di Jakarta lebih terkait dengan UMR (Upah Minimal Raskin) yang berbeda dari gaji minimal. Oleh karena itu, klaim tentang penghasilan minimal warga DKI Jakarta Rp5 juta per bulan tidak dapat didukung oleh bukti-bukti yang tersedia dan dianggap hoax."
20541,[SALAH] MENTERI PUPR BASUKI HADIMULJONO RESMI MUNDUR DARI KABINET,Benar,Hoax,turnbackhoax,1074.4894785999932,PAK BASUKI RESMI MUNDUR DARI KABINET.,Basuki Resmi Mundur,"Setelah melakukan penelusuran dan menganalisis semua bukti yang tersedia, dapat disimpulkan bahwa klaim ""PAK BASUKI RESMI MUNDUR DARI KABINET"" adalah hoax. Bukti-bukti yang ditemukan tidak mendukung klaim tersebut, tetapi menunjukkan bahwa video yang beredar memang merupakan potongan dari live sidang DPR RI dan tidak ada informasi tentang pengunduran diri Basuki Hadimuljono sebagai Menteri PUPR dari kabinet. Selain itu, artikel-artikel yang disebutkan dalam narasi video juga tidak mendukung klaim tersebut, tetapi membahas tentang program Tapera dan pendahuluan Rencana Kerja dan Anggaran Kementerian Negara/Lembaga (RKA-KL) dan Rencana Kerja Pemerintah (RKP) tahun anggaran 2025. Oleh karena itu, klaim tersebut dapat dikategorikan sebagai hoax dan tidak memiliki dasar yang solid."
19905,"Benar, Narasi yang Mengatakan Sering Banyak Minum Air Putih Malam Hari Sebelum Tidur Bisa Sebabkan Sakit Ginjal",Benar,Hoax,turnbackhoax,742.5032070000016,Ginjal bisa rusak jika seseorang sering minum banyak air putih pada malam hari atau satu jam sebelum tidur.,Minum air putih sebelum tidur,"Klaim bahwa ginjal bisa rusak jika seseorang sering minum banyak air putih pada malam hari atau satu jam sebelum tidur dikategorikan sebagai Hoax karena tidak ada bukti yang kuat untuk mendukung klaim tersebut. Bukti yang ditemukan melalui penelusuran menunjukkan bahwa video pendek dokter Tirta Mandira Hudhi tentang tips menurunkan berat badan dengan ritual minum air putih sebelum tidur telah diubah dari aslinya dan tidak ada bukti yang mendukung klaim tersebut. Selain itu, ahli gizi klinis dr Jovita Amelia juga menyatakan bahwa hanya mengkonsumsi air mineral sebelum tidur tidak bisa otomatis menurunkan berat badan sebanyak 5 kilogram dalam tiga hari. Oleh karena itu, klaim tersebut tidak memiliki dasar yang kuat dan dapat dikategorikan sebagai Hoax."
19829,"Benar, Kasus Demam Berdarah Dengue Tinggi karena Perubahan Iklim",Benar,Hoax,turnbackhoax,2005.1967188999988,Kementerian Kesehatan menyatakan bahwa tingginya angka kasus Demam Berdarah Dengue disebabkan oleh perubahan iklim.,Demam Berdarah Dengue,"Berdasarkan seluruh bukti yang ditemukan, klaim tersebut dikategorikan sebagai Hoax karena tidak ada studi ilmiah yang membuktikan hal itu dan sampai saat ini belum ada obat khusus untuk menyembuhkan DBD. Hingga saat ini pula, belum ada obat yang benar-benar berkhasiat untuk menyembuhkan DBD. Sebabnya, DBD merupakan penyakit infeksi yang disebabkan oleh virus."
19791,"Benar, Video Demonstrasi Warga Jepang Terkait Pandemic Treaty",Benar,Tidak Diketahui,google_news,122.55924159999995,Video demonstrasi warga Jepang menolak Pandemic Treaty.,"Video demonstrasi warga Jepang menolak Pandemic Treaty dapat diubah menjadi:

Pandemic Treaty

atau lebih spesifik lagi:

Treaty Pandemic Jepang",Tidak ditemukan artikel yang relevan untuk memverifikasi klaim. Informasi ini belum dapat dipastikan benar maupun salah. Disarankan untuk tidak menyebarkan informasi tersebut sebelum tersedia sumber yang kredibel.
